h	V	C	R	G	B
5P	2	6	66	38	77
5P	2	8	73	31	87
5P	2	10	78	23	95
5P	2	12	84	9	103
7.5P	2	2	58	45	60
7.5P	2	4	65	41	67
7.5P	2	6	71	36	74
7.5P	2	8	78	28	83
7.5P	2	10	84	18	90
10P	2	2	60	45	58
10P	2	4	67	40	65
10P	2	6	74	35	71
10P	2	8	82	26	78
10P	2	10	89	13	85
2.5RP	2	2	62	44	56
2.5RP	2	4	70	39	61
2.5RP	2	6	78	33	66
2.5RP	2	8	87	22	72
2.5RP	2	10	95	3	77
5RP	2	2	64	44	54
5RP	2	4	73	38	57
5RP	2	6	81	32	61
5RP	2	8	91	20	66
7.5RP	2	2	64	44	52
7.5RP	2	4	74	38	54
7.5RP	2	6	83	31	57
7.5RP	2	8	93	18	60
10RP	3	2	91	66	70
10RP	3	4	104	59	69
10RP	3	6	116	51	67
10RP	3	8	128	40	67
10RP	3	10	139	23	66
2.5R	3	2	91	66	68
2.5R	3	4	106	59	64
2.5R	3	6	117	51	61
2.5R	3	8	130	40	58
2.5R	3	10	141	23	55
5R	3	2	92	66	66
5R	3	4	106	59	60
5R	3	6	118	52	54
5R	3	8	130	41	48
5R	3	10	141	25	43
7.5R	3	2	92	66	64
7.5R	3	4	106	60	55
7.5R	3	6	118	53	48
7.5R	3	8	129	43	39
7.5R	3	10	140	29	30
10R	3	2	91	67	62
10R	3	4	105	61	52
10R	3	6	117	54	41
10R	3	8	128	45	30
10R	3	10	137	34	17
2.5YR	3	2	91	67	59
2.5YR	3	4	103	62	47
2.5YR	3	6	114	56	32
2.5YR	3	8	123	50	14
5YR	3	2	89	68	57
5YR	3	4	101	64	42
5YR	3	6	110	59	25
7.5YR	3	2	88	69	55
7.5YR	3	4	98	66	38
7.5YR	3	6	105	63	17
10YR	3	2	85	70	54
10YR	3	4	94	68	35
10YR	3	6	100	65	8
2.5Y	3	2	82	71	52
2.5Y	3	4	90	70	31
5Y	3	2	80	72	52
5Y	3	4	85	71	30
7.5Y	3	2	77	73	52
7.5Y	3	4	81	73	29
10Y	3	2	74	74	53
10Y	3	4	76	74	29
2.5GY	3	2	71	74	54
2.5GY	3	4	70	76	32
5GY	3	2	69	75	56
5GY	3	4	64	77	37
5GY	3	6	59	79	11
7.5GY	3	2	65	76	60
7.5GY	3	4	56	79	44
7.5GY	3	6	45	81	27
10GY	3	2	62	76	63
10GY	3	4	49	80	51
10GY	3	6	32	83	38
2.5G	3	2	60	76	65
2.5G	3	4	41	80	58
2.5G	3	6	6	84	51
5G	3	2	58	77	67
5G	3	4	36	81	62
7.5G	3	2	57	77	69
7.5G	3	4	32	81	66
10G	3	2	56	77	71
10G	3	4	27	81	69
2.5BG	3	2	55	77	73
2.5BG	3	4	23	81	74
5BG	3	2	54	77	75
5BG	3	4	17	81	79
7.5BG	3	2	53	77	77
7.5BG	3	4	13	81	83
10BG	3	2	53	76	80
10BG	3	4	13	80	88
2.5B	3	2	53	76	82
2.5B	3	4	14	80	92
5B	3	2	54	76	83
5B	3	4	20	79	95
7.5B	3	2	55	75	85
7.5B	3	4	29	78	98
10B	3	2	58	75	86
10B	3	4	38	76	100
2.5PB	3	2	61	74	87
2.5PB	3	4	47	75	101
2.5PB	3	6	24	75	114
5PB	3	2	65	73	88
5PB	3	4	56	73	102
5PB	3	6	42	73	115
5PB	3	8	21	73	127
7.5PB	3	2	70	71	88
7.5PB	3	4	66	70	102
7.5PB	3	6	62	69	115
7.5PB	3	8	58	67	127
7.5PB	3	10	54	65	139
7.5PB	3	12	51	62	151
7.5PB	3	14	50	58	163
7.5PB	3	16	50	53	175
7.5PB	3	18	51	47	185
7.5PB	3	20	53	41	194
7.5PB	3	22	56	31	205
7.5PB	3	24	59	14	215
10PB	3	2	74	70	88
10PB	3	4	74	68	101
10PB	3	6	76	65	112
10PB	3	8	77	62	123
10PB	3	10	79	58	135
10PB	3	12	81	54	145
10PB	3	14	84	48	156
10PB	3	16	88	40	166
10PB	3	18	91	31	175
10PB	3	20	95	16	184
2.5P	3	2	77	69	87
2.5P	3	4	81	66	99
2.5P	3	6	85	62	109
2.5P	3	8	89	58	119
2.5P	3	10	94	52	129
2.5P	3	12	98	46	138
2.5P	3	14	103	38	147
2.5P	3	16	108	26	156
2.5P	3	18	113	4	165
5P	3	2	80	68	86
5P	3	4	86	64	96
5P	3	6	91	60	105
5P	3	8	97	55	114
5P	3	10	103	48	123
5P	3	12	109	40	132
5P	3	14	115	29	140
5P	3	16	121	8	148
7.5P	3	2	83	68	84
7.5P	3	4	90	63	92
7.5P	3	6	97	58	100
7.5P	3	8	105	51	109
7.5P	3	10	111	44	117
7.5P	3	12	118	33	125
7.5P	3	14	125	15	133
10P	3	2	85	67	81
10P	3	4	94	62	89
10P	3	6	102	56	96
10P	3	8	111	48	103
10P	3	10	118	39	110
10P	3	12	127	24	117
2.5RP	3	2	87	67	78
2.5RP	3	4	98	61	84
2.5RP	3	6	107	54	89
2.5RP	3	8	117	45	94
2.5RP	3	10	126	34	99
2.5RP	3	12	135	14	105
5RP	3	2	88	66	75
5RP	3	4	101	60	78
5RP	3	6	112	52	81
5RP	3	8	122	43	85
5RP	3	10	132	29	88
7.5RP	3	2	90	66	73
7.5RP	3	4	103	59	74
7.5RP	3	6	114	52	75
7.5RP	3	8	126	41	76
7.5RP	3	10	136	26	78
10RP	4	2	115	91	95
10RP	4	4	129	85	92
10RP	4	6	142	78	90
10RP	4	8	155	69	89
10RP	4	10	166	59	88
10RP	4	12	177	45	87
10RP	4	14	188	23	86
2.5R	4	2	115	91	93
2.5R	4	4	130	85	88
2.5R	4	6	144	78	84
2.5R	4	8	156	69	81
2.5R	4	10	168	59	77
2.5R	4	12	179	45	74
2.5R	4	14	190	21	71
5R	4	2	116	91	90
5R	4	4	131	85	83
5R	4	6	145	78	77
5R	4	8	157	70	70
5R	4	10	168	60	64
5R	4	12	179	48	58
5R	4	14	190	26	52
7.5R	4	2	116	91	89
7.5R	4	4	132	85	80
7.5R	4	6	145	78	71
7.5R	4	8	157	70	61
7.5R	4	10	168	62	53
7.5R	4	12	178	50	43
7.5R	4	14	188	34	33
10R	4	2	116	92	86
10R	4	4	132	86	74
10R	4	6	144	80	63
10R	4	8	156	73	50
10R	4	10	166	65	36
10R	4	12	175	56	18
2.5YR	4	2	116	92	83
2.5YR	4	4	130	87	69
2.5YR	4	6	142	82	55
2.5YR	4	8	152	76	38
2.5YR	4	10	160	71	15
5YR	4	2	115	93	80
5YR	4	4	128	88	64
5YR	4	6	138	84	47
5YR	4	8	146	80	27
7.5YR	4	2	114	93	78
7.5YR	4	4	126	90	59
7.5YR	4	6	134	87	40
7.5YR	4	8	140	84	14
10YR	4	2	111	95	76
10YR	4	4	122	92	54
10YR	4	6	129	90	33
2.5Y	4	2	108	96	74
2.5Y	4	4	117	94	51
2.5Y	4	6	123	93	26
5Y	4	2	105	97	73
5Y	4	4	112	96	49
5Y	4	6	116	95	21
7.5Y	4	2	103	98	73
7.5Y	4	4	107	98	48
7.5Y	4	6	110	98	17
10Y	4	2	98	99	75
10Y	4	4	102	100	48
10Y	4	6	103	100	17
2.5GY	4	2	96	100	76
2.5GY	4	4	95	101	52
2.5GY	4	6	94	103	23
5GY	4	2	93	100	78
5GY	4	4	89	103	56
5GY	4	6	84	105	32
7.5GY	4	2	89	101	82
7.5GY	4	4	79	104	65
7.5GY	4	6	69	107	46
7.5GY	4	8	58	110	19
10GY	4	2	86	101	85
10GY	4	4	73	105	72
10GY	4	6	56	109	57
10GY	4	8	34	112	41
2.5G	4	2	83	102	89
2.5G	4	4	64	106	80
2.5G	4	6	36	110	72
5G	4	2	81	102	91
5G	4	4	59	107	85
5G	4	6	24	111	80
7.5G	4	2	80	102	93
7.5G	4	4	56	107	89
7.5G	4	6	5	111	86
10G	4	2	79	102	95
10G	4	4	53	107	93
2.5BG	4	2	78	102	97
2.5BG	4	4	49	107	98
5BG	4	2	77	102	100
5BG	4	4	47	107	103
7.5BG	4	2	76	102	102
7.5BG	4	4	46	106	107
10BG	4	2	77	102	104
10BG	4	4	46	106	112
2.5B	4	2	77	101	106
2.5B	4	4	48	105	116
5B	4	2	79	101	108
5B	4	4	53	104	119
7.5B	4	2	81	100	109
7.5B	4	4	60	103	122
7.5B	4	6	24	105	134
10B	4	2	84	99	110
10B	4	4	66	101	123
10B	4	6	42	103	136
2.5PB	4	2	87	98	111
2.5PB	4	4	74	100	124
2.5PB	4	6	58	100	137
2.5PB	4	8	28	101	151
5PB	4	2	91	97	111
5PB	4	4	82	98	125
5PB	4	6	71	98	138
5PB	4	8	55	98	152
5PB	4	10	32	98	165
7.5PB	4	2	94	96	112
7.5PB	4	4	91	95	125
7.5PB	4	6	87	94	138
7.5PB	4	8	83	93	151
7.5PB	4	10	77	91	164
7.5PB	4	12	72	90	177
7.5PB	4	14	68	87	189
7.5PB	4	16	64	84	202
7.5PB	4	18	62	80	215
7.5PB	4	20	61	74	229
7.5PB	4	22	62	70	238
7.5PB	4	24	63	63	250
7.5PB	4	26	65	55	255
10PB	4	2	98	95	112
10PB	4	4	98	93	124
10PB	4	6	99	91	136
10PB	4	8	100	88	148
10PB	4	10	100	86	160
10PB	4	12	102	82	172
10PB	4	14	103	78	183
10PB	4	16	106	73	193
10PB	4	18	109	67	204
10PB	4	20	113	60	216
10PB	4	22	116	52	224
10PB	4	24	120	42	234
10PB	4	26	124	23	244
2.5P	4	2	101	94	111
2.5P	4	4	104	91	122
2.5P	4	6	108	89	133
2.5P	4	8	112	85	143
2.5P	4	10	116	81	154
2.5P	4	12	120	76	164
2.5P	4	14	125	70	174
2.5P	4	16	130	63	183
2.5P	4	18	135	55	193
2.5P	4	20	140	43	203
2.5P	4	22	144	30	211
5P	4	2	104	94	109
5P	4	4	109	90	120
5P	4	6	115	86	129
5P	4	8	120	82	138
5P	4	10	126	77	148
5P	4	12	132	71	157
5P	4	14	138	64	166
5P	4	16	144	55	175
5P	4	18	150	44	184
5P	4	20	156	26	193
7.5P	4	2	107	93	107
7.5P	4	4	114	89	116
7.5P	4	6	122	84	124
7.5P	4	8	129	79	132
7.5P	4	10	136	73	140
7.5P	4	12	143	66	148
7.5P	4	14	150	57	156
7.5P	4	16	158	44	165
7.5P	4	18	165	26	173
10P	4	2	109	92	105
10P	4	4	119	87	112
10P	4	6	128	82	119
10P	4	8	136	76	125
10P	4	10	144	69	132
10P	4	12	152	61	139
10P	4	14	160	50	145
10P	4	16	168	35	152
2.5RP	4	2	111	92	102
2.5RP	4	4	122	87	107
2.5RP	4	6	133	80	112
2.5RP	4	8	143	73	117
2.5RP	4	10	152	65	122
2.5RP	4	12	161	55	127
2.5RP	4	14	170	42	132
2.5RP	4	16	179	20	137
5RP	4	2	113	92	99
5RP	4	4	125	86	101
5RP	4	6	138	79	104
5RP	4	8	149	71	106
5RP	4	10	158	63	109
5RP	4	12	169	50	112
5RP	4	14	178	34	115
7.5RP	4	2	114	91	97
7.5RP	4	4	128	85	97
7.5RP	4	6	141	78	97
7.5RP	4	8	153	70	97
7.5RP	4	10	163	61	98
7.5RP	4	12	173	48	99
7.5RP	4	14	184	28	100
10RP	5	2	139	118	120
10RP	5	4	155	112	117
10RP	5	6	169	105	115
10RP	5	8	183	97	112
10RP	5	10	195	88	110
10RP	5	12	208	76	109
10RP	5	14	218	64	108
10RP	5	16	230	45	106
2.5R	5	2	139	118	119
2.5R	5	4	156	112	114
2.5R	5	6	171	105	109
2.5R	5	8	184	97	104
2.5R	5	10	197	88	100
2.5R	5	12	210	76	96
2.5R	5	14	220	64	93
2.5R	5	16	232	45	90
5R	5	2	140	118	117
5R	5	4	157	112	109
5R	5	6	172	105	102
5R	5	8	185	97	95
5R	5	10	198	88	87
5R	5	12	211	77	81
5R	5	14	221	65	75
5R	5	16	232	47	68
5R	5	18	244	8	61
7.5R	5	2	140	118	115
7.5R	5	4	157	112	105
7.5R	5	6	172	105	95
7.5R	5	8	186	98	85
7.5R	5	10	198	89	75
7.5R	5	12	210	79	64
7.5R	5	14	220	68	54
7.5R	5	16	231	53	42
7.5R	5	18	240	32	30
10R	5	2	141	118	112
10R	5	4	157	112	99
10R	5	6	172	106	86
10R	5	8	185	100	73
10R	5	10	196	92	57
10R	5	12	207	84	40
10R	5	14	215	77	18
2.5YR	5	2	141	118	109
2.5YR	5	4	156	113	95
2.5YR	5	6	170	108	79
2.5YR	5	8	182	102	61
2.5YR	5	10	191	97	42
2.5YR	5	12	199	92	15
5YR	5	2	140	119	106
5YR	5	4	154	115	89
5YR	5	6	166	110	70
5YR	5	8	176	106	50
5YR	5	10	184	102	25
7.5YR	5	2	139	119	104
7.5YR	5	4	152	116	85
7.5YR	5	6	163	113	63
7.5YR	5	8	171	109	39
10YR	5	2	137	120	101
10YR	5	4	148	118	79
10YR	5	6	157	115	55
10YR	5	8	164	113	27
2.5Y	5	2	134	121	100
2.5Y	5	4	143	120	75
2.5Y	5	6	151	118	48
2.5Y	5	8	156	117	13
5Y	5	2	131	123	98
5Y	5	4	138	122	73
5Y	5	6	144	121	43
7.5Y	5	2	129	124	98
7.5Y	5	4	133	124	72
7.5Y	5	6	137	124	41
10Y	5	2	126	124	99
10Y	5	4	128	126	72
10Y	5	6	130	126	42
2.5GY	5	2	122	125	100
2.5GY	5	4	121	127	76
2.5GY	5	6	120	129	48
5GY	5	2	119	126	103
5GY	5	4	115	129	81
5GY	5	6	110	131	56
5GY	5	8	106	133	23
7.5GY	5	2	114	127	106
7.5GY	5	4	106	130	89
7.5GY	5	6	96	134	69
7.5GY	5	8	86	136	47
7.5GY	5	10	74	139	10
10GY	5	2	111	128	110
10GY	5	4	98	132	96
10GY	5	6	84	135	81
10GY	5	8	66	139	65
10GY	5	10	41	142	48
2.5G	5	2	107	128	113
2.5G	5	4	90	133	104
2.5G	5	6	69	137	95
2.5G	5	8	34	140	86
5G	5	2	105	128	116
5G	5	4	85	133	110
5G	5	6	59	137	104
7.5G	5	2	104	128	118
7.5G	5	4	82	133	114
7.5G	5	6	52	137	110
10G	5	2	103	128	120
10G	5	4	79	133	118
10G	5	6	47	137	116
2.5BG	5	2	102	128	122
2.5BG	5	4	77	133	122
2.5BG	5	6	42	137	122
5BG	5	2	102	128	125
5BG	5	4	75	133	128
5BG	5	6	34	137	130
7.5BG	5	2	101	128	128
7.5BG	5	4	75	132	132
7.5BG	5	6	27	137	137
10BG	5	2	102	128	130
10BG	5	4	75	132	137
10BG	5	6	26	136	145
2.5B	5	2	103	127	131
2.5B	5	4	77	131	141
2.5B	5	6	32	135	150
5B	5	2	105	127	133
5B	5	4	81	130	144
5B	5	6	45	133	156
7.5B	5	2	107	126	134
7.5B	5	4	87	129	147
7.5B	5	6	59	131	159
10B	5	2	110	125	135
10B	5	4	93	127	148
10B	5	6	72	129	161
10B	5	8	35	131	175
2.5PB	5	2	113	124	136
2.5PB	5	4	101	126	149
2.5PB	5	6	85	127	163
2.5PB	5	8	65	128	177
2.5PB	5	10	28	129	191
5PB	5	2	117	123	136
5PB	5	4	108	124	150
5PB	5	6	98	124	164
5PB	5	8	85	124	178
5PB	5	10	67	125	192
5PB	5	12	38	125	206
7.5PB	5	2	120	122	136
7.5PB	5	4	116	122	149
7.5PB	5	6	112	121	164
7.5PB	5	8	108	119	177
7.5PB	5	10	103	118	190
7.5PB	5	12	97	117	204
7.5PB	5	14	90	115	218
7.5PB	5	16	83	113	232
7.5PB	5	18	77	109	247
7.5PB	5	20	72	106	255
10PB	5	2	123	121	136
10PB	5	4	123	120	148
10PB	5	6	124	117	162
10PB	5	8	124	115	175
10PB	5	10	124	112	186
10PB	5	12	125	109	199
10PB	5	14	126	106	212
10PB	5	16	127	102	224
10PB	5	18	129	98	235
10PB	5	20	131	93	247
10PB	5	22	135	86	255
2.5P	5	2	126	121	135
2.5P	5	4	129	118	147
2.5P	5	6	132	115	159
2.5P	5	8	136	111	171
2.5P	5	10	140	108	181
2.5P	5	12	144	104	192
2.5P	5	14	149	99	202
2.5P	5	16	153	93	212
2.5P	5	18	158	87	222
2.5P	5	20	163	80	233
2.5P	5	22	168	71	243
2.5P	5	24	173	59	254
2.5P	5	26	179	44	255
5P	5	2	128	120	133
5P	5	4	134	117	144
5P	5	6	140	113	155
5P	5	8	146	109	165
5P	5	10	151	104	175
5P	5	12	157	99	185
5P	5	14	163	93	194
5P	5	16	169	87	203
5P	5	18	175	79	212
5P	5	20	181	70	221
5P	5	22	187	57	231
5P	5	24	194	40	240
5P	5	26	200	1	249
7.5P	5	2	131	119	131
7.5P	5	4	139	115	140
7.5P	5	6	148	110	149
7.5P	5	8	156	105	158
7.5P	5	10	163	100	166
7.5P	5	12	170	93	174
7.5P	5	14	178	86	182
7.5P	5	16	185	78	190
7.5P	5	18	192	67	199
7.5P	5	20	200	54	207
7.5P	5	22	208	32	216
10P	5	2	133	119	129
10P	5	4	143	114	136
10P	5	6	154	109	143
10P	5	8	164	102	150
10P	5	10	172	96	157
10P	5	12	181	89	164
10P	5	14	189	80	170
10P	5	16	198	70	177
10P	5	18	206	57	184
10P	5	20	215	36	191
2.5RP	5	2	135	119	127
2.5RP	5	4	147	113	132
2.5RP	5	6	159	107	137
2.5RP	5	8	171	100	142
2.5RP	5	10	180	93	146
2.5RP	5	12	190	84	151
2.5RP	5	14	200	74	156
2.5RP	5	16	209	62	161
2.5RP	5	18	218	44	166
2.5RP	5	20	227	7	171
5RP	5	2	137	118	124
5RP	5	4	151	112	126
5RP	5	6	164	106	128
5RP	5	8	177	98	130
5RP	5	10	188	90	132
5RP	5	12	199	80	135
5RP	5	14	210	68	137
5RP	5	16	220	53	140
5RP	5	18	230	28	142
7.5RP	5	2	138	118	122
7.5RP	5	4	153	112	121
7.5RP	5	6	167	105	121
7.5RP	5	8	180	97	121
7.5RP	5	10	192	89	121
7.5RP	5	12	204	77	122
7.5RP	5	14	214	66	123
7.5RP	5	16	225	48	124
7.5RP	5	18	235	17	125
10RP	6	2	164	144	146
10RP	6	4	180	138	143
10RP	6	6	196	132	140
10RP	6	8	208	125	137
10RP	6	10	222	117	135
10RP	6	12	235	107	132
10RP	6	14	247	97	131
10RP	6	16	255	82	128
10RP	6	18	255	65	127
2.5R	6	2	165	144	144
2.5R	6	4	182	138	139
2.5R	6	6	198	132	134
2.5R	6	8	211	125	129
2.5R	6	10	225	117	124
2.5R	6	12	238	107	119
2.5R	6	14	249	97	116
2.5R	6	16	255	82	111
2.5R	6	18	255	64	108
5R	6	2	166	144	143
5R	6	4	183	138	135
5R	6	6	199	132	127
5R	6	8	212	125	121
5R	6	10	226	117	113
5R	6	12	239	107	106
5R	6	14	251	97	99
5R	6	16	255	84	92
5R	6	18	255	68	85
7.5R	6	2	167	144	140
7.5R	6	4	184	138	130
7.5R	6	6	199	132	121
7.5R	6	8	213	125	111
7.5R	6	10	227	117	100
7.5R	6	12	239	109	89
7.5R	6	14	250	100	77
7.5R	6	16	255	88	65
7.5R	6	18	255	75	51
10R	6	2	167	144	138
10R	6	4	184	139	124
10R	6	6	199	133	112
10R	6	8	212	127	99
10R	6	10	225	120	83
10R	6	12	236	113	67
10R	6	14	247	105	47
10R	6	16	255	97	20
2.5YR	6	2	168	144	134
2.5YR	6	4	183	140	120
2.5YR	6	6	197	134	104
2.5YR	6	8	210	129	88
2.5YR	6	10	221	124	69
2.5YR	6	12	230	118	47
2.5YR	6	14	238	113	10
